agency_cd	site_no	station_nm
USGS	02233200	LITTLE ECONLOCKHATCHEE RIVER NEAR UNION PARK, FL
USGS	02233460	LITTLE ECON RIV TRIB AT BANNER DAM AT UNION PK, FL
USGS	02233473	LT ECONLOCKHATCHEE R AT UNIV BLVD NR UNION PK, FL
USGS	02233475	LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL
USGS	02233484	ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL
USGS	02233500	ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL
USGS	02234000	ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL
USGS	02234010	ST. JOHNS RIVER AT OSCEOLA, FL
USGS	02234100	DEEP CREEK NEAR OSTEEN, FL
USGS	02234180	DEEP CREEK DIVERSION CANAL NEAR OSTEEN, FL
USGS	02234263	SUE LAKE OUTLET AT WINTER PARK
USGS	02234287	PARK LAKE OUTLET AT MAITLAND, FL
USGS	02234308	HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL
USGS	02234324	HOWELL CREEK NEAR SLAVIA, FL
USGS	02234344	HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL
USGS	02234365	SOLDIER CREEK HEADWATERS AT LAKE MARY, FL
USGS	02234367	SOLDIER CREEK AT LAKE MARY, FL
USGS	02234384	SOLDIER CREEK NEAR LONGWOOD, FL
USGS	02234400	GEE CREEK NEAR LONGWOOD, FL
USGS	02234432	LAKE JESUP AT STATE HIGHWAY 417 NEAR OVIEDO, FL
USGS	02234435	LAKE JESUP OUTLET NEAR SANFORD, FL
USGS	02234440	ST. JOHNS RIVER AT STATE HWY 415 NEAR SANFORD, FL
USGS	02234500	ST. JOHNS RIVER NEAR SANFORD, FL
USGS	02234600	WEKIWA SPRINGS NEAR APOPKA, FL
USGS	02234610	ROCK SPRINGS NEAR APOPKA, FL
USGS	02234635	WEKIVA RIVER NEAR APOPKA, FL
USGS	02234815	LAKE WEKIVA OUTLET NR MAITLAND, FLA.
USGS	02234990	LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL
USGS	02234998	LITTLE WEKIVA RIVER NEAR LONGWOOD, FL
USGS	022349993	WEKIVA RIVER AT OLD RR CROSSING NEAR SANFORD, FL
USGS	02235000	WEKIVA RIVER NEAR SANFORD, FL
USGS	02235200	BLACKWATER CREEK NEAR CASSIA, FL
USGS	02235400	ST JOHNS RIVER AT MARKER 88 NEAR DEBARY, FL.
USGS	02235495	ST. JOHNS RIVER AB BLUE SPRING NR ORANGE CITY, FL.
USGS	02235500	BLUE SPRINGS NEAR ORANGE CITY, FL
USGS	02236000	ST. JOHNS RIVER NEAR DE LAND, FL
USGS	02236122	TICK ISLAND CREEK NEAR ASTOR, FL.
USGS	02236125	ST. JOHNS RIVER AT ASTOR, FL
USGS	02236157	PRICE CREEK NEAR PIERSON, FL
USGS	02236160	SILVER GLEN SPRINGS NEAR ASTOR, FL
USGS	02236300	GREEN SWAMP RUN NR LOUGHMAN, FLA.
USGS	02236350	GREEN SWAMP RUN NEAR EVA, FL
USGS	02236500	BIG CREEK NEAR CLERMONT, FL
USGS	02236600	LITTLE CREEK AT COOPER'S RANCH NR CLERMONT, FLA.
USGS	02236605	LITTLE CREEK AT GREEN SWAMP ROAD NEAR CLERMONT, FL
USGS	02236700	LITTLE CREEK NEAR CLERMONT, FL
USGS	02236900	PALATLAKAHA R AT CHERRY LK OUT NEAR GROVELAND, FL
USGS	02237000	PALATLAKAHA RIVER NEAR MASCOTTE, FL
USGS	02237293	PALATLAKAHA R AT STRUCTURE M-1, NR OKAHUMPKA, FL
USGS	02237522	DEAD RIVER NR TAVARES, FLA.
USGS	02237698	APOPKA FLOW-WAY FEEDER CANAL NEAR ASTATULA, FL
USGS	02237700	APOPKA-BEAUCLAIR CANAL NEAR ASTATULA, FL
USGS	02237733	WOLF BRANCH AB SR 46 NR MT.DORA, FLA
USGS	02237734	WOLF BRANCH AT FCRR NEAR MOUNT DORA, FL
USGS	02238000	HAYNES CREEK AT LISBON, FL
USGS	02238500	OCKLAWAHA RIVER AT MOSS BLUFF, FL
USGS	02238800	LAKE WEIR NEAR WEIRSDALE, FL
USGS	02239000	OCKLAWAHA RIVER NR OCALA,FLA.
USGS	02239500	SILVER SPRINGS NEAR OCALA, FL
USGS	02239501	SILVER RIVER NEAR OCALA, FL
USGS	02239510	SILVER RIVER NEAR CONNER, FL
USGS	02239600	TRIBUTARY TO SILVER RIVER AT SH 40 NEAR OCALA FL
USGS	02240000	OCKLAWAHA RIVER NEAR CONNER, FL
USGS	02240500	OCKLAWAHA RIVER AT EUREKA, FL
USGS	02240783	HATCHET CREEK NR FAIRBANKS,FL
USGS	02240806	LITTLE HATCHET CREEK AT GAINESVILLE,FL
USGS	02240902	PRAIRIE CREEK NEAR GAINESVILLE, FL
USGS	022409424	MOORES POND TRIB. NEAR MICANOPY, FL.
USGS	02240954	HOGTOWN CREEK NEAR ARREDONDO, FL
USGS	02240976	TUMBLIN CREEK AT GAINESVILLE,FL
USGS	02240982	BIVANS ARM AT GAINESVILE,FL
USGS	02240988	SWEETWATER BRANCH AT GAINESVILLE,FL
USGS	02241000	CAMPS CANAL NEAR ROCHELLE, FL
USGS	02241900	LOCHLOOSA CREEK AT GROVE PARK, FLA.
USGS	02242451	ORANGE LAKE OUTLET NEAR CITRA, FL
USGS	02242460	ORANGE CREEK NEAR ISLAND GROVE, FL
USGS	02242500	LOCHLOOSA SLOUGH NR LOCHLOOSA, FLA.
USGS	02243000	ORANGE CREEK AT ORANGE SPRINGS, FL
USGS	02243300	LITTLE ORANGE CREEK NEAR JOHNSON, FL
USGS	02243500	OCKLAWAHA RIVER NR ORANGE SPRINGS,FLA.
USGS	02243609	DEEP CREEK NR KENWOOD, FLA.
USGS	02243800	DEEP CREEK NR RODMAN, FLA.
USGS	02243960	OCKLAWAHA R AT RODMAN DAM NEAR ORANGE SPRINGS, FL
USGS	02244000	OCKLAWAHA R AT RIVERSIDE L NR ORG.SPRINGS, FLA.
USGS	02244005	OCKLAWAHA R AT ST HWY 19,NR SALT SPRINGS, FLA.
USGS	02244032	CROSS FL BARGE CAN AT BUCKMAN LOCK NR PALATKA, FL
USGS	02244040	ST. JOHNS R AT BUFFALO BLUFF NEAR SATSUMA, FL
USGS	02244300	MIDDLE HAW CR AT RELAY STATION NR BUNNELL, FLA.
USGS	02244320	MIDDLE HAW CREEK NR KORONA, FLA.
USGS	02244333	HAW CREEK AB RUSSELLS LANDING NR ST JOHNS PARK FL
USGS	02244420	LITTLE HAW CREEK NEAR SEVILLE, FL
USGS	02244440	DUNNS CREEK NEAR SATSUMA, FL
USGS	02244450	ST. JOHNS RIVER AT PALATKA, FLA.
USGS	02244473	RICE CREEK NEAR SPRINGSIDE
USGS	02244601	SAND HILL LAKE OUTLET NR KEYSTONE HEIGHTS, FL
USGS	02244651	MAGNOLIA LAKE OUTLET NR KEYSTONE HEIGHTS, FLA.
USGS	02244690	ALLIGATOR CREEK NR KEYSTONE HEIGHTS,FL
USGS	02245000	ETONIA CREEK NR FLORAHOME, FLA.
USGS	02245050	ETONIA CREEK AT BARDIN, FL
USGS	02245140	SIMMS CREEK NEAR BARDIN, FL
USGS	02245255	DEEP CREEK NEAR HASTINGS, FL
USGS	02245260	DEEP CREEK AT SPUDS, FL
USGS	02245280	MOCCASIN BRANCH AT ARMSTRONG, FL
USGS	02245290	ST JOHNS RIVER AT RACY PT NEAR HASTINGS FL
USGS	02245315	SIXMILE CREEK AT BAKERSVILLE, FL
USGS	02245328	SIXMILE CREEK NEAR PICOLATA, FL
USGS	02245340	ST JOHNS R BLW SHANDS BRIDGE NR GRN COVE SPRG, FL
USGS	02245400	SOUTH FORK BLACK CREEK NR CAMP BLANDING, FLA.
USGS	02245500	SOUTH FORK BLACK CREEK NEAR PENNEY FARMS, FL
USGS	02245800	NORTH FORK BLACK CREEK NR HIGHLAND, FLA.
USGS	02245913	SAL TAYLOR CREEK NEAR MAXVILLE, FL
USGS	02245918	ROWELL CREEK NR FIFTONE, FL.
USGS	02245922	ROWELL CR. AT LAKE FRETWELL DAM NR MAXVILLE, FL
USGS	02245924	SITE 2 OUTFLOW DITCH NR MAXVILLE, FL
USGS	02245925	SITE 1 OUTFLOW DITCH NR MAXVILLE, FL
USGS	02245927	ROWELL CREEK NR MAXVILLE, FL
USGS	02246000	NORTH FORK BLACK CREEK NEAR MIDDLEBURG, FL
USGS	02246025	BLACK CREEK NEAR DOCTORS INLET, FL
USGS	02246030	LITTLE BLACK CREEK NEAR MIDDLEBURG, FL
USGS	02246100	JULINGTON CREEK NR GREENLAND, FLA.
USGS	02246108	JULINGTON CREEK NEAR MANDARIN, FL
USGS	02246150	BIG DAVIS CREEK AT BAYARD, FL
USGS	02246160	JULINGTON CRK AT OLD ST AUGUST RD NR BAYARD, FL
USGS	022462002	DURBIN CREEK NEAR FRUIT COVE, FL
USGS	02246202	CORMORANT BRANCH NR MANDARIN, FLA.
USGS	02246215	INDIGO BRANCH NEAR DOCTORS INLET,FL
USGS	02246300	ORTEGA RIVER AT JACKSONVILLE, FL
USGS	02246318	ORTEGA RIVER AT KIRWIN ROAD NEAR JACKSONVILLE,FL
USGS	02246359	CEDAR RIVER AT MARIETTA, FL
USGS	02246459	CEDAR RIVER AT SAN JUAN AVENUE AT JACKSONVILLE, FL
USGS	02246500	ST. JOHNS RIVER AT JACKSONVILLE, FL
USGS	02246515	POTTSBURG CREEK NR SOUTH JACKSONVILLE, FLA.
USGS	02246518	POTTSBURG CRK AT US90 NR S. JACKSONVILLE, FL
USGS	02246520	STRAWBERRY CREEK NEAR ARLINGTON, FL
USGS	02246522	RED BAY BRANCH TRIBUTARY AT JACKSONVILLE, FLA.
USGS	02246599	TROUT RIVER NEAR DINSMORE, FL
USGS	02246621	TROUT R NR JACKSONVILLE FLA
USGS	02246751	BROWARD RIVER BL BISCAYNE BLVD NR JACKSONVILLE, FL
USGS	02246804	DUNN CREEK AT DUNN CREEK RD NR EASTPORT, FL
USGS	02246825	CLAPBOARD CREEK NR JACKSONVILLE, FL
USGS	02246828	PABLO CREEK AT JACKSONVILLE, FL
USGS	02246832	CEDAR SWAMP CREEK NR JACKSONVILLE, FLA.
USGS	02246850	DIEGO PLAINS SWAMP DRAIN AT MICKLER LANDING, FL
USGS	02246895	SAN SEBASTIAN RIVER AT ST. AUGUSTINE, FL
USGS	02246900	MOULTRIE CREEK AT SHWY 207 NR ST AUGUSTINE, FLA.
USGS	02247000	MOULTRIE CREEK NR ST. AUGUSTINE, FLA.
USGS	02247012	MOULTRIE CREEK TRIB NEAR ST.AUGUSTINE,FL
USGS	02247015	MOULTRIE CREEK AT MOULTRIE, FL
USGS	02247027	MOSES CREEK NEAR MOULTRIE, FL
USGS	02247222	PELLICER CREEK NEAR ESPANOLA, FL
USGS	02247258	LEHIGH CANAL NEAR FLAGLER BEACH, FL
USGS	02247465	BELLEVUE CANAL AT DAYTONA BEACH, FL
USGS	02247480	TIGER BAY CANAL NEAR DAYTONA BEACH, FL
USGS	02247493	BAYLESS BLVD CANAL AT DAYTONA BCH, FL
USGS	02247496	THAYER CANAL NEAR DAYTONA BEACH, FL
USGS	02247498	WALLY HOFFMEYER CANAL AT DAYTONA BCH, FL
USGS	02247499	WILLIAMSON BLVD DITCH AT DAYTONA BEACH, FL
USGS	02247500	TOMOKA RIVER NR DAYTONA BEACH, FLA.
USGS	02247508	ELEVENTH ST CANAL NR HOLLY HILL, FL
USGS	02247509	ELEVENTH STREET CANAL AT HOLLY HILL, FL
USGS	02247510	TOMOKA RIVER NEAR HOLLY HILL, FL
USGS	02247598	TOMOKA RIVER NEAR ORMOND BEACH, FL
USGS	02248000	SPRUCE CREEK NEAR SAMSULA, FL
USGS	02248025	REED CANAL AT SOUTH DAYTONA, FL
USGS	02248030	HALIFAX CANAL NEAR HARBOR OAKS, FL
USGS	02248037	B-19 CANAL AT WILLOW RUN BLVD NR PORT ORANGE, FL
USGS	02248040	B-19 CANAL AT SR415 AT PORT ORANGE, FL
USGS	02248053	SPRUCE CREEK NEAR NEW SMYRNA BEACH,FL
USGS	02248060	TURNBULL CREEK NEAR NEW SMYRNA BEACH, FL
USGS	02248350	TURNBULL CREEK NR OAK HILL, FL
USGS	02248357	COUNTY LINE ROAD DITCH NR SCOTTSMOOR,FL
USGS	02248365	BIG FLOUNDER CREEK NEAR SCOTTSMOOR, FL
USGS	02248380	HAULOVER CANAL NEAR MIMS,FL
USGS	02248510	ADDISON CREEK NR TITUSVILLE,FL
USGS	02248600	DRAINAGE CANAL AT PLAZA PKWY AT COCOA, FL
USGS	02248650	DITCH 19 N OF GUS HIPP BLVD AT ROCKLEDGE, FL
USGS	02248660	DITCH 20D S OF GUS HIPP BLVD AT ROCKLEDGE, FL
USGS	02248900	HORSE CREEK NR MELBOURNE,FL
USGS	02249000	EAU GALLIE RIVER NR EAU GALLIE, FLA.
USGS	02249007	EAU GALLIE RIV AT HEATHER GLEN CIR AT MELBOURNE FL
USGS	02249500	CRANE CREEK AT MELBOURNE, FL
USGS	02249518	CRANE CREEK AT U.S. HIGHWAY 1 AT MELBOURNE,FL
USGS	02249950	C-1 CANAL AT RED BUD CIRCLE NEAR PALM BAY,FL
USGS	02249970	C-10 CANAL AT MALABAR ROAD AT PALM BAY,FL
USGS	02249990	C-69 CANAL AT PALM BAY ROAD AT PALM BAY, FL
USGS	02250000	TURKEY CREEK NR PALM BAY, FLA.
USGS	02250005	MELBOURNE-TILLMAN CANAL AT PALM BAY, FL
USGS	02250030	TURKEY CREEK AT PALM BAY, FL
USGS	02250500	GOAT CREEK NR VALKARIA, FLA.
USGS	02250600	KID CREEK AT VALKARIA,FL
USGS	02250700	TROUT CREEK AT GRANT,FL
USGS	02251000	SOUTH PRONG ST SEBASTIAN RIVER NEAR SEBASTIAN,FL
USGS	02251500	NORTH PRONG SAINT SEBASTIAN RIVER NEAR MICCO, FL
USGS	02251765	FELLSMERE CANAL NR FELLSMERE, FLA.
USGS	02251767	FELLSMERE CANAL NEAR MICCO, FL
USGS	02252500	NORTH CANAL NEAR VERO BEACH, FL
USGS	02253000	MAIN CANAL AT VERO BEACH, FL
USGS	02253500	SOUTH CANAL NEAR VERO BEACH, FL
USGS	02253800	INDIAN RIVER LAGOON AT SEWALLS PT STUART, FL
USGS	02255600	FISHEATING CREEK NEAR LAKE PLACID,FL
USGS	02256000	FISHEATING CREEK NR VENUS, FL
USGS	02256500	FISHEATING CREEK AT PALMDALE, FL
USGS	02257000	FISHEATING CREEK AT LAKEPORT, FL
USGS	02257030	FISHEATING LOCK AT S-131 NEAR LAKEPORT, FL
USGS	02257790	HARNEY POND CANAL ABOVE S-71 NR LAKEPORT, FL
USGS	02258000	HARNEY POND CANAL NEAR LAKEPORT, FL
USGS	02259000	INDIAN PRAIRIE CANAL NR LAKEPORT FLA
USGS	02259100	INDIAN PRAIRIE CANAL ABOVE S-72 NR OKEECHOBEE, FL
USGS	02259200	INDIAN PRAIRIE CANAL AT S-72 NR OKEECHOBEE, FLA.
USGS	02259500	INDIAN PRAIRIE CANAL NEAR OKEECHOBEE, FLA.
USGS	02259627	BUCKHEAD LOCK AT S-127 NR OKEECHOBEE, FL
USGS	02261500	MYRTLE-MARY JANE CANAL NR NARCOOSSEE, FLA.
USGS	02262900	BOGGY CREEK NEAR TAFT, FL
USGS	02263130	C-2 CANAL NEAR VINELAND, FL
USGS	02263500	ST. CLOUD CANAL AT S-59 NR ST. CLOUD, FLA.
USGS	02263692	SHINGLE CREEK AT OAK RIDGE ROAD NR PINE CASTLE, FL
USGS	02263800	SHINGLE CREEK AT AIRPORT NEAR KISSIMMEE, FL
USGS	02263851	BAY LAKE OUTLET AT S-105A, NEAR VINELAND, FLA.
USGS	02263869	SOUTH LAKE OUTLET AT S-15, NEAR VINELAND, FL
USGS	02264000	CYPRESS CREEK AT VINELAND, FL
USGS	02264003	CYPRESS CREEK CANAL AT S-103A NEAR VINELAND, FL
USGS	02264030	LK BUENA VIS TR AT HOTEL PL BLVD AT LK BUENA VISTA
USGS	02264051	BLACK LK OUTLET AT S-101A, AT LAKE BUENA VISTA, FL
USGS	02264060	LATERAL 101 AT S-101, NEAR LAKE BUENA VISTA, FL
USGS	02264100	BONNET CREEK NEAR VINELAND, FL
USGS	02264140	BONNET CREEK NEAR KISSIMMEE, FL
USGS	02264495	SHINGLE CREEK AT CAMPBELL, FL
USGS	02265000	SOUTH PORT CANAL AT S-61 NR ST. CLOUD, FLA.
USGS	02266000	CANOE CREEK NR ST. CLOUD, FLA.
USGS	02266025	REEDY CREEK AT S-46 NEAR VINELAND, FL
USGS	02266200	WHITTENHORSE CREEK NEAR VINELAND, FL
USGS	02266205	WHITTENHORSE CREEK AT S-411, NEAR VINELAND, FL
USGS	02266291	LATERAL 405 AT S-405A, NEAR DOCTOR PHILLIPS, FL
USGS	02266293	10B LATERAL 405 AB S-405 NEAR VINELAND, FLA
USGS	022662947	CANAL 405 AT FORCE MAIN NEAR VINELAND, FL
USGS	02266295	LATERAL 410 AT S-410 NEAR VINELAND, FL
USGS	02266298	REEDY CREEK ABOVE HW-192 NEAR VINELAND, FL
USGS	02266300	REEDY CREEK NEAR VINELAND, FL
USGS	02266320	REEDY CREEK AT I-4 NEAR LOUGHMAN, FL
USGS	02266480	DAVENPORT CREEK NEAR LOUGHMAN, FL
USGS	02266495	REEDY CREEK AT S-40, NEAR LOUGHMAN, FL
USGS	02266496	REEDY CREEK BELOW S-40, NEAR LOUGHMAN, FL
USGS	02266500	REEDY CREEK NEAR LOUGHMAN, FL
USGS	02266700	HORSE CREEK AT DAVENPORT, FLA.
USGS	02267000	CATFISH CREEK NEAR LAKE WALES, FL
USGS	02267500	KISSIMMEE RIVER NR LAKE WALES, FLA.
USGS	02268390	TIGER CREEK NEAR BABSON PARK FL
USGS	02268903	KISSIMMEE RIVER AT S-65,NEAR LAKE WALES, FLA.
USGS	02269000	KISSIMMEE R BL LAKE KISSIMMEE NR LAKE WALES, FLA
USGS	02269160	KISSIMMEE RIVER AT PC-33 NEAR BASINGER, FL
USGS	02269500	REEDY CREEK NEAR FROSTPROOF FL
USGS	02269520	LIVINGSTON CREEK NEAR FROSTPROOF FL
USGS	02270000	CARTER CREEK NEAR SEBRING FL
USGS	02270500	ARBUCKLE CREEK NEAR DE SOTO CITY, FL
USGS	02270805	PLACID-JUNE CANAL OUTFALL NEAR LAKE PLACID FL
USGS	02271000	STEARNS CREEK NEAR LAKE PLACID FL
USGS	02271500	JOSEPHINE CREEK NEAR DE SOTO CITY FL
USGS	02272000	ISTOKPOGA CANAL NR CORNWELL, FLA.
USGS	02272500	KISSIMMEE RIVER NEAR BASINGER, FL
USGS	02272502	KISSIMMEE RIVER AT LOCKETT EST AT FORT BASINGER FL
USGS	02272650	FISH SLOUGH NEAR BASINGER, FL
USGS	02272676	CYPRESS SLOUGH NEAR BASINGER, FL
USGS	02273000	KISSIMMEE RIVER AT S-65E NEAR OKEECHOBEE, FL
USGS	02273198	C-41A CANAL NEAR LAKE PLACID, FL
USGS	02273200	CANAL 41A AT S-68 NEAR LAKE PLACID, FLA.
USGS	02273230	C-41 CANAL NEAR BRIGHTON, FL
USGS	02273300	CANAL 41A AT S-84, NEAR OKEECHOBEE, FLA.
USGS	02273630	POPASH SLOUGH NEAR OKEECHOBEE, FL
USGS	02274000	TAYLOR CREEK NR BASINGER, FL
USGS	02274005	OTTER CREEK NEAR OKEECHOBEE, FL
USGS	02274010	TAYLOR CREEK NEAR OKEECHOBEE, FL
USGS	02274325	TAYLOR CREEK AT GRASSY ISLAND NR OKEECHOBEE, FL
USGS	02274490	WILLIAMSON DITCH NEAR OKEECHOBEE, FL
USGS	02274495	WILLIAMSON DITCH AT S-7, NEAR OKEECHOBEE, FLA.
USGS	02274500	TAYLOR CREEK AB OKEECHOBEE, FLA.
USGS	02274505	WOLFF CREEK NR OKEECHOBEE,FL
USGS	02275000	TAYLOR CREEK AT OKEECHOBEE, FLA.
USGS	02275197	MOSQUITO CREEK NEAR OKEECHOBEE, FL
USGS	02275503	TAYLOR CREEK AT HGS-6 NEAR OKEECHOBEE, FL
USGS	02275606	NUBBIN SLOUGH NEAR SHERMAN, FL
USGS	02275625	NUBBIN SLOUGH NEAR OKEECHOBEE, FL
USGS	02275631	L-63S CANAL NEAR OKEECHOBEE, FL
USGS	02275705	HENRY CREEK AT HENRY CRK LOCK NR SHERMAN
USGS	02276568	SAVANNAHS DRAINAGE CANAL AT PORT ST LUCIE FL
USGS	02276575	N FORK ST LUCIE RIVER AT VETERANS PK, PT ST LUCIE
USGS	02276870	ST. LUCIE CANAL AT LAKE OKEECHOBEE, FLA.
USGS	02276877	ST. LUCIE CANAL BLW S-308, NR PORT MAYACA (AUX) FL
USGS	02276998	ST LUCIE CANAL ABV S-80 NR STUART FL
USGS	02277000	ST LUCIE CA AT LOCK NR STUART FLA
USGS	02277100	ST LUCIE RIVER AT SPEEDY POINT, STUART FL
USGS	02277110	ST LUCIE ESTUARY AT A1A (STEELE PT)STUART FL
USGS	02277600	LOXAHATCHEE RIVER NEAR JUPITER,FL
USGS	02277700	22  C-18 CA AB S-46 @ SR 706 NR JUPITER FL
USGS	02277900	CANAL M NEAR MAGNOLIA PARK, FLA.
USGS	02278000	WEST PALM BEACH CANAL AT S352 AT CANAL POINT FLA
USGS	02278450	WEST PALM BEACH C ABV S-5A,NRLOXAHATCHEE, FLA
USGS	02278500	DIV TO CONSERVATION AREA AT S-5A NRLOXAHATCHEE
USGS	02278550	LEVEE 8 CA AT W PALM BCH CA NR LOXAHATCHEE, FLA
USGS	02278600	WEST PALM BEACH CA BL S-5A-E NR LOXAHATCHEE, FLA
USGS	02279000	WEST PALM BEACH CANAL AT WEST PALM BEACH FLA
USGS	02280500	HILLSBORO CANAL BELOW S351 NR SOUTH BAY FLA
USGS	02281200	HILLSBORO CANAL AT S-6 NEAR SHAWANO
USGS	02281300	10B HILLSBORO CANAL AT S-39 NR DEERFIELD BCH
USGS	02281400	HILLSBORO CANAL NR MARGATE, FLA.
USGS	02281490	C-2 CANAL ABOVE S-4 NEAR DEERFIELD BEACH, FL
USGS	02281500	HILLSBORO CANAL NR. DEERFIELD BEACH,FLA
USGS	02282000	POMPANO CA AT POMPANO BEACH FLA
USGS	02282100	CYPRESS CREEK C AT S-37A, NR POMPANO BEACH, FLA
USGS	02282700	MIDDLE RIVER CANAL AT S-36 NR FT LAUDERDALE, FL
USGS	02283200	PLANTATION RD CA AT S-33 NR FT LAUDERDALE, FL
USGS	02283498	N NEW RIVER CA AT S-2 AND S351 NR SOUTH BAY FL
USGS	02283500	N NEW RIVER CANAL BELOW S351 NR SOUTH  BAY FLA
USGS	02284300	NORTH NEW RIVER CANAL AT S-7, AT TERRYTOWN,  FL
USGS	02284700	NORTH NEW RIVER CA AT 20 MI BEND NR FT LAUD, FL
USGS	02285000	NORTH NEW RIVER CANAL NEAR FT LAUDERDALE, FL
USGS	02285400	SOUTH NEW RIVER CANAL AT S-9 NR DAVIE, FL
USGS	02286100	SOUTH NEW RIVER CANAL AT S-13 NR DAVIE, FL
USGS	02286200	SNAKE CREEK CANAL AT NW67 AVE NR HIALEAH, FL
USGS	02286300	SNAKE CREEK CA AT S-29 AT NORTH MIAMI BEACH, FL
USGS	02286328	C-8 CANAL AT NE 135 ST AT NORTH MIAMI, FL
USGS	02286380	LITTLE RIVER CANAL AT S-27 AT MIAMI, FL
USGS	02286400	MIAMI CANAL AT S-354 AND S-3 AT LAKE HARBOR, FLA
USGS	02287395	MIAMI CANAL EAST OF LEVEE 30 NEAR MIAMI, FL
USGS	02287400	MIAMI CA AT BROKEN DAM NR MIAMI FLA
USGS	02287497	N.W. WELLFIELD CANAL NR DADE BROWARD LEVEE NR PENN
USGS	02288010	N.W. WELLFIELD CANAL NR PENNSUCO, FL
USGS	02288200	MIAMI CANAL AT PALMETTO BYPASS  NR HIALEAH
USGS	02288600	MIAMI CANAL AT NW36 ST, MIAMI,FL
USGS	02288800	TAMIAMI CANAL OUTLETS, MONROE TO CARNESTOWN, FLA
USGS	02288900	TAMIAMI CANAL OUTLETS, 40-MILE BEND TO MONROE, FL
USGS	022889001	TAMIAMI CANAL 11 MILE ROAD TO MONROE STATION FL
USGS	02289000	TAMIAMI CANAL OUTLETS, MIAMI TO MONROE, FLA.
USGS	02289019	TAMIAMI CANAL AT S-12-B  NR MIAMI, FL
USGS	02289027	DRAINAGE CANAL BELOW G-136 NR CLEWISTON, FL
USGS	02289030	LEVEE 3 CANAL NR CLEWISTON, FLA
USGS	02289031	LEVEE 3 CANAL BELOW G-155 NR CLEWISTON, FL
USGS	02289032	LEVEE 4 CANAL BELOW G-88 NR CLEWISTON, FL
USGS	02289035	THREE MILE CANAL BELOW G409 NEAR CLEWISTON, FL
USGS	02289040	TAMIAMI C OUTLETS L67A TO 40 MI BND NR MIAMI, FL
USGS	02289041	TAMIAMI CANAL BELOW S-12-C, NEARMIAMI, FLA
USGS	02289050	TAMIAMI CANAL AT S-333 NR MIAMI, FL
USGS	02289060	TAMIAMI CANAL OUTLETS L-30 TO L-67A NR MIAMI, FL
USGS	02289080	TAMIAMI CANAL WEST END 1 MILE BRIDGE NR MIAMI, FL
USGS	02289085	TAMIAMI CANAL EAST END 1 MILE BRIDGE NR MIAMI, FL
