"","x"
"225",0
"226",1
"227",1
"228",0
"229",0
"230",0
"231",0
"232",1
"233",0
"234",0
"235",1
"236",0
"237",0
"238",0
"239",1
"240",1
"241",1
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",1
"252",0
"253",0
"254",1
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",1
"263",1
"264",1
"265",0
"266",1
"267",0
"268",1
"269",0
"270",0
"271",0
"272",0
"273",0
"274",1
"275",0
"276",0
"277",0
"278",0
"279",0
"280",1
"281",0
"282",0
"283",1
"284",0
"285",0
"286",0
"287",0
"288",0
"289",1
"290",0
"291",0
"292",0
"293",1
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",1
"304",0
"305",1
"306",1
"307",0
"308",1
"309",1
"310",0
"311",0
"312",1
"313",1
"314",1
"315",0
"316",1
"317",1
"318",0
"319",0
"320",0
"321",1
"322",0
"323",1
"324",0
"325",1
"326",0
"327",0
"328",0
"329",0
"330",0
"331",1
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",1
"341",0
"342",1
"343",1
"344",0
"345",0
"346",0
"347",0
"348",1
"349",0
"350",0
"351",0
"352",1
"353",0
"354",0
"355",0
"356",0
"357",0
"358",1
"359",1
"360",1
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",1
"387",1
"388",1
"389",0
"390",0
"391",0
"392",0
"393",1
"394",1
"395",0
"396",1
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",1
"408",0
"409",0
"410",0
"411",1
"412",0
"413",0
"414",0
"415",0
"416",1
"417",1
"418",0
"419",1
"420",1
"421",0
"422",0
"423",0
"424",1
"425",0
"426",0
"427",1
"428",0
"429",0
"430",0
"431",0
"432",1
"433",1
"434",0
"435",0
"436",0
"437",0
"438",1
"439",0
"440",0
"441",0
"442",1
"443",0
"444",1
"445",0
"446",0
"447",1
"448",1
"449",0
"450",0
"451",0
"452",0
"453",0
"454",1
"455",0
"456",0
"457",1
"458",0
"459",0
"460",1
"461",0
"462",1
"463",0
"464",1
"465",0
"466",0
"467",1
"468",0
"469",0
"470",1
"471",1
"472",1
"473",0
"474",0
"475",1
"476",1
"477",0
"478",1
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",1
"491",1
"492",0
"493",1
"494",0
"495",1
"496",0
"497",0
"498",1
"499",0
"500",1
"501",0
"502",1
"503",1
"504",0
"505",1
"506",0
"507",0
"508",1
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",1
"517",0
"518",0
"519",0
"520",0
"521",0
"522",1
"523",0
"524",0
"525",1
"526",0
"527",1
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",1
"538",1
"539",0
"540",1
"541",0
"542",1
"543",0
"544",0
"545",0
"546",0
"547",1
"548",1
"549",1
"550",0
"551",0
"552",0
"553",0
"554",0
"555",1
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",1
"571",1
"572",0
"573",0
"574",0
"575",1
"576",1
"577",0
"578",1
"579",0
"580",1
"581",0
"582",0
"583",0
"584",1
"585",0
"586",0
"587",1
"588",0
"589",1
"590",0
"591",1
"592",0
"593",0
"594",0
"595",0
"596",1
"597",1
"598",0
"599",0
"600",0
"601",0
"602",0
"603",1
"604",0
"605",0
"606",1
"607",0
"608",1
"609",0
"610",0
"611",1
"612",0
"613",1
"614",0
"615",1
"616",1
"617",0
"618",0
"619",1
"620",0
"621",0
"622",0
"623",0
"624",1
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",0
"634",0
"635",1
"636",0
"637",1
"638",0
"639",0
"640",0
"641",1
"642",0
"643",0
"644",0
"645",0
"646",0
"647",1
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",1
"659",1
"660",0
"661",0
"662",0
"663",0
"664",1
"665",0
"666",1
"667",1
"668",0
"669",1
"670",0
"671",0
"672",0
"673",0
"674",0
"675",1
"676",1
"677",0
"678",0
"679",1
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",1
"688",0
"689",0
"690",0
"691",1
"692",1
"693",0
"694",1
"695",1
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",1
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",1
"715",1
"716",0
"717",0
"718",1
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",1
"726",0
"727",0
"728",0
"729",0
"730",1
"731",0
"732",1
"733",0
"734",1
"735",0
"736",0
"737",1
"738",0
"739",0
"740",1
"741",0
"742",0
"743",1
"744",1
"745",0
"746",0
"747",1
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",1
"755",0
"756",0
"757",1
"758",0
"759",0
"760",0
"761",1
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",1
"773",0
"774",0
"775",0
"776",0
"777",1
"778",0
"779",1
"780",0
"781",1
"782",0
"783",0
"784",1
"785",0
"786",0
"787",0
"788",1
"789",0
"790",0
"791",0
"792",0
"793",0
"794",1
"795",1
"796",1
"797",1
"798",0
"799",0
"800",0
"801",1
"802",0
"803",0
"804",0
"805",0
"806",1
"807",0
"808",0
"809",0
"810",0
"811",1
"812",1
"813",0
"814",0
"815",0
"816",0
"817",1
"818",0
"819",1
"820",0
"821",1
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",1
"830",0
"831",1
"832",0
"833",0
"834",0
"835",1
"836",1
"837",0
"838",1
"839",0
"840",0
"841",1
"842",1
"843",0
"844",1
"845",1
"846",0
"847",0
"848",0
"849",0
"850",1
"851",1
"852",0
"853",1
"854",1
"855",0
"856",0
"857",0
"858",0
"859",1
"860",0
"861",0
"862",0
"863",1
"864",0
"865",1
"866",0
"867",0
"868",0
"869",0
"870",0
"871",1
"872",0
"873",0
"874",1
"875",1
"876",0
"877",0
"878",0
"879",0
"880",0
"881",1
"882",1
"883",0
"884",1
"885",0
"886",0
"887",0
"888",1
"889",1
"890",0
"891",0
"892",0
"893",1
"894",0
"895",1
"896",0
"897",0
"898",0
"899",0
"900",1
"901",1
"902",0
"903",1
"904",0
"905",0
"906",1
"907",1
"908",0
"909",0
"910",0
"911",1
"912",0
"913",1
"914",1
"915",1
"916",0
"917",1
"918",0
"919",0
"920",0
"921",1
"922",0
"923",0
"924",0
"925",0
"926",0
"927",0
"928",1
"929",0
"930",0
"931",1
"932",0
"933",1
"934",1
"935",0
"936",0
"937",0
"938",0
"939",1
"940",0
"941",0
"942",0
"943",0
"944",1
"945",0
"946",0
"947",0
"948",0
"949",1
"950",0
"951",1
"952",0
"953",1
"954",1
"955",0
"956",0
"957",1
"958",1
"959",0
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",0
"967",0
"968",1
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",1
"976",1
"977",1
"978",0
"979",0
"980",0
"981",0
"982",1
"983",0
"984",0
"985",0
"986",0
"987",0
"988",0
"989",1
"990",0
"991",1
"992",1
"993",1
"994",0
"995",0
"996",0
"997",1
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",1
"1005",1
"1006",0
"1007",1
"1008",0
"1009",1
"1010",0
"1011",1
"1012",0
"1013",0
"1014",1
"1015",1
"1016",1
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",1
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",1
"1029",0
"1030",0
"1031",0
"1032",0
"1033",0
"1034",0
"1035",1
"1036",1
"1037",0
"1038",0
"1039",0
"1040",0
"1041",1
"1042",0
"1043",1
"1044",0
"1045",0
"1046",1
"1047",0
"1048",0
"1049",0
"1050",1
"1051",0
"1052",1
"1053",0
"1054",0
"1055",1
"1056",0
"1057",1
"1058",0
"1059",0
"1060",1
"1061",0
"1062",0
"1063",0
"1064",1
"1065",1
"1066",0
"1067",0
"1068",1
"1069",0
"1070",0
"1071",0
"1072",0
"1073",0
"1074",0
"1075",1
"1076",0
"1077",0
"1078",0
"1079",0
"1080",1
"1081",0
"1082",0
"1083",0
